chart_label,region,national_rank_of_accepting_candidate
unknown_year_A,East of England,1736
unknown_year_A,East of England,1748
unknown_year_A,East of England,1749
unknown_year_A,East of England,1760
unknown_year_A,East of England,1771
unknown_year_A,East of England,1800
unknown_year_A,East of England,1805
unknown_year_A,East of England,1830
unknown_year_A,East of England,1833
unknown_year_A,East of England,1840
unknown_year_A,East of England,1841
unknown_year_A,East of England,1859
unknown_year_A,East of England,1867
unknown_year_A,East of England,1891
unknown_year_A,East of England,1899
unknown_year_A,East of England,1913
unknown_year_A,East of England,1921
unknown_year_A,East of England,1933
unknown_year_A,East of England,1944
unknown_year_A,East of England,1961
unknown_year_A,East of England,1973
unknown_year_A,East of England,1974
unknown_year_A,East of England,1978
unknown_year_A,East of England,1983
unknown_year_A,East of England,1984
unknown_year_A,East of England,2006
unknown_year_A,East of England,2008
unknown_year_A,East of England,2009
unknown_year_A,Kent Surrey and Sussex,1376
unknown_year_A,Kent Surrey and Sussex,1554
unknown_year_A,Kent Surrey and Sussex,1338
unknown_year_A,Kent Surrey and Sussex,1542
unknown_year_A,Kent Surrey and Sussex,1158
unknown_year_A,Kent Surrey and Sussex,1917
unknown_year_A,Kent Surrey and Sussex,1517
unknown_year_A,Kent Surrey and Sussex,884
unknown_year_A,Kent Surrey and Sussex,1261
unknown_year_A,Kent Surrey and Sussex,1838
unknown_year_A,Kent Surrey and Sussex,1466
unknown_year_A,Kent Surrey and Sussex,1643
unknown_year_A,Kent Surrey and Sussex,1455
unknown_year_A,Kent Surrey and Sussex,779
unknown_year_A,Kent Surrey and Sussex,266
unknown_year_A,Kent Surrey and Sussex,1370
unknown_year_A,Kent Surrey and Sussex,1902
unknown_year_A,Kent Surrey and Sussex,941
unknown_year_A,Kent Surrey and Sussex,967
unknown_year_A,Kent Surrey and Sussex,1238
unknown_year_A,Kent Surrey and Sussex,1552
unknown_year_A,Kent Surrey and Sussex,482
unknown_year_A,Kent Surrey and Sussex,955
unknown_year_A,Kent Surrey and Sussex,1375
unknown_year_A,Kent Surrey and Sussex,1727
unknown_year_A,Kent Surrey and Sussex,1345
unknown_year_A,Kent Surrey and Sussex,1331
unknown_year_A,Kent Surrey and Sussex,1569
unknown_year_A,Kent Surrey and Sussex,1598
unknown_year_A,Kent Surrey and Sussex,1109
unknown_year_A,Kent Surrey and Sussex,1109
unknown_year_A,Kent Surrey and Sussex,1309
unknown_year_A,Kent Surrey and Sussex,1041
unknown_year_A,Kent Surrey and Sussex,1747
unknown_year_A,Kent Surrey and Sussex,1253
unknown_year_A,Kent Surrey and Sussex,1775
unknown_year_A,Kent Surrey and Sussex,1177
unknown_year_A,Kent Surrey and Sussex,534
unknown_year_A,Kent Surrey and Sussex,1746
unknown_year_A,Kent Surrey and Sussex,1262
unknown_year_A,Kent Surrey and Sussex,919
unknown_year_A,Kent Surrey and Sussex,1855
unknown_year_A,Kent Surrey and Sussex,1823
unknown_year_A,Kent Surrey and Sussex,970
unknown_year_A,Kent Surrey and Sussex,1858
unknown_year_A,Kent Surrey and Sussex,906
unknown_year_A,Kent Surrey and Sussex,1637
unknown_year_A,Kent Surrey and Sussex,1609
unknown_year_A,Kent Surrey and Sussex,1306
unknown_year_A,Kent Surrey and Sussex,1513
unknown_year_A,Kent Surrey and Sussex,1630
unknown_year_A,Kent Surrey and Sussex,1127
unknown_year_A,Kent Surrey and Sussex,1847
unknown_year_A,Kent Surrey and Sussex,1530
unknown_year_A,Kent Surrey and Sussex,1207
unknown_year_A,Kent Surrey and Sussex,1541
unknown_year_A,Kent Surrey and Sussex,1857
unknown_year_A,Kent Surrey and Sussex,198
unknown_year_A,Kent Surrey and Sussex,717
unknown_year_A,Kent Surrey and Sussex,984
unknown_year_A,Kent Surrey and Sussex,109
unknown_year_A,Kent Surrey and Sussex,1008
unknown_year_A,Kent Surrey and Sussex,929
unknown_year_A,Kent Surrey and Sussex,1187
unknown_year_A,Kent Surrey and Sussex,139
unknown_year_A,Kent Surrey and Sussex,767
unknown_year_A,Kent Surrey and Sussex,930
unknown_year_A,Kent Surrey and Sussex,1023
unknown_year_A,Kent Surrey and Sussex,924
unknown_year_A,Kent Surrey and Sussex,1227
unknown_year_A,Kent Surrey and Sussex,989
unknown_year_A,Kent Surrey and Sussex,1243
unknown_year_A,Kent Surrey and Sussex,693
unknown_year_A,Kent Surrey and Sussex,943
unknown_year_A,Kent Surrey and Sussex,854
unknown_year_A,Kent Surrey and Sussex,770
unknown_year_A,Kent Surrey and Sussex,1237
unknown_year_A,Kent Surrey and Sussex,1068
unknown_year_A,Kent Surrey and Sussex,1201
unknown_year_A,Kent Surrey and Sussex,578
unknown_year_A,Kent Surrey and Sussex,1563
unknown_year_A,Kent Surrey and Sussex,890
unknown_year_A,Kent Surrey and Sussex,1113
unknown_year_A,Kent Surrey and Sussex,1337
unknown_year_A,Kent Surrey and Sussex,987
unknown_year_A,Kent Surrey and Sussex,975
unknown_year_A,Kent Surrey and Sussex,488
unknown_year_A,Kent Surrey and Sussex,396
unknown_year_A,Kent Surrey and Sussex,1340
unknown_year_A,Kent Surrey and Sussex,1871
unknown_year_A,Kent Surrey and Sussex,1676
unknown_year_A,Kent Surrey and Sussex,1179
unknown_year_A,Kent Surrey and Sussex,809
unknown_year_A,Kent Surrey and Sussex,1290
unknown_year_A,Kent Surrey and Sussex,1665
unknown_year_A,Kent Surrey and Sussex,1502
unknown_year_A,Kent Surrey and Sussex,1502
unknown_year_A,Kent Surrey and Sussex,1849
unknown_year_A,Kent Surrey and Sussex,959
unknown_year_A,Kent Surrey and Sussex,768
unknown_year_A,Kent Surrey and Sussex,1757
unknown_year_A,Kent Surrey and Sussex,1813
unknown_year_A,Kent Surrey and Sussex,1430
unknown_year_A,Kent Surrey and Sussex,1893
unknown_year_A,Kent Surrey and Sussex,1602
unknown_year_A,Kent Surrey and Sussex,1901
unknown_year_A,Kent Surrey and Sussex,13
unknown_year_A,Kent Surrey and Sussex,1093
unknown_year_A,Kent Surrey and Sussex,658
unknown_year_A,Kent Surrey and Sussex,60
unknown_year_A,Kent Surrey and Sussex,944
unknown_year_A,Kent Surrey and Sussex,1364
unknown_year_A,Kent Surrey and Sussex,1612
unknown_year_A,Kent Surrey and Sussex,617
unknown_year_A,Kent Surrey and Sussex,1773
unknown_year_A,Kent Surrey and Sussex,1592
unknown_year_A,Kent Surrey and Sussex,920
unknown_year_A,Kent Surrey and Sussex,1510
unknown_year_A,Kent Surrey and Sussex,690
unknown_year_A,Kent Surrey and Sussex,581
unknown_year_A,Kent Surrey and Sussex,1065
unknown_year_A,Kent Surrey and Sussex,704
unknown_year_A,Kent Surrey and Sussex,1004
unknown_year_A,Kent Surrey and Sussex,1318
unknown_year_A,Kent Surrey and Sussex,1496
unknown_year_A,Kent Surrey and Sussex,1856
unknown_year_A,Kent Surrey and Sussex,1845
unknown_year_A,Kent Surrey and Sussex,465
unknown_year_A,Kent Surrey and Sussex,97
unknown_year_A,Kent Surrey and Sussex,1707
unknown_year_A,Kent Surrey and Sussex,1664
unknown_year_A,Kent Surrey and Sussex,1916
unknown_year_A,Kent Surrey and Sussex,1043
unknown_year_A,London,585
unknown_year_A,London,225
unknown_year_A,London,523
unknown_year_A,London,137
unknown_year_A,London,176
unknown_year_A,London,516
unknown_year_A,London,363
unknown_year_A,London,375
unknown_year_A,London,391
unknown_year_A,London,107
unknown_year_A,London,712
unknown_year_A,London,272
unknown_year_A,London,163
unknown_year_A,London,320
unknown_year_A,London,130
unknown_year_A,London,210
unknown_year_A,London,414
unknown_year_A,London,362
unknown_year_A,London,48
unknown_year_A,London,1420
unknown_year_A,London,623
unknown_year_A,London,664
unknown_year_A,London,846
unknown_year_A,London,904
unknown_year_A,London,442
unknown_year_A,London,509
unknown_year_A,London,711
unknown_year_A,London,127
unknown_year_A,London,26
unknown_year_A,London,209
unknown_year_A,London,633
unknown_year_A,London,275
unknown_year_A,London,685
unknown_year_A,London,191
unknown_year_A,London,95
unknown_year_A,London,627
unknown_year_A,London,437
unknown_year_A,London,406
unknown_year_A,London,355
unknown_year_A,London,278
unknown_year_A,London,519
unknown_year_A,London,761
unknown_year_A,London,629
unknown_year_A,London,372
unknown_year_A,London,420
unknown_year_A,London,409
unknown_year_A,London,273
unknown_year_A,London,261
unknown_year_A,London,156
unknown_year_A,London,596
unknown_year_A,London,550
unknown_year_A,London,105
unknown_year_A,London,682
unknown_year_A,London,382
unknown_year_A,London,98
unknown_year_A,London,813
unknown_year_A,London,280
unknown_year_A,London,53
unknown_year_A,London,387
unknown_year_A,London,91
unknown_year_A,London,479
unknown_year_A,London,157
unknown_year_A,London,573
unknown_year_A,London,249
unknown_year_A,London,797
unknown_year_A,London,173
unknown_year_A,London,3
unknown_year_A,London,715
unknown_year_A,London,524
unknown_year_A,London,318
unknown_year_A,London,32
unknown_year_A,London,843
unknown_year_A,London,244
unknown_year_A,London,466
unknown_year_A,London,730
unknown_year_A,London,746
unknown_year_A,London,775
unknown_year_A,London,823
unknown_year_A,London,364
unknown_year_A,London,291
unknown_year_A,London,59
unknown_year_A,London,1636
unknown_year_A,London,628
unknown_year_A,London,84
unknown_year_A,London,350
unknown_year_A,London,38
unknown_year_A,London,14
unknown_year_A,London,535
unknown_year_A,London,786
unknown_year_A,London,727
unknown_year_A,London,300
unknown_year_A,London,145
unknown_year_A,London,310
unknown_year_A,London,467
unknown_year_A,London,478
unknown_year_A,London,399
unknown_year_A,London,5
unknown_year_A,London,171
unknown_year_A,London,110
unknown_year_A,London,1
unknown_year_A,London,211
unknown_year_A,London,385
unknown_year_A,London,277
unknown_year_A,London,803
unknown_year_A,London,74
unknown_year_A,London,30
unknown_year_A,London,8
unknown_year_A,London,416
unknown_year_A,London,66
unknown_year_A,London,1776
unknown_year_A,London,1776
unknown_year_A,London,571
unknown_year_A,London,963
unknown_year_A,London,444
unknown_year_A,London,347
unknown_year_A,London,37
unknown_year_A,London,62
unknown_year_A,London,140
unknown_year_A,London,747
unknown_year_A,London,205
unknown_year_A,London,815
unknown_year_A,London,212
unknown_year_A,London,323
unknown_year_A,London,302
unknown_year_A,London,177
unknown_year_A,London,132
unknown_year_A,London,836
unknown_year_A,London,411
unknown_year_A,London,184
unknown_year_A,London,181
unknown_year_A,London,599
unknown_year_A,London,304
unknown_year_A,London,329
unknown_year_A,London,294
unknown_year_A,London,330
unknown_year_A,London,404
unknown_year_A,London,75
unknown_year_A,London,413
unknown_year_A,London,247
unknown_year_A,London,503
unknown_year_A,London,265
unknown_year_A,London,298
unknown_year_A,London,147
unknown_year_A,London,498
unknown_year_A,London,231
unknown_year_A,London,122
unknown_year_A,London,170
unknown_year_A,London,925
unknown_year_A,London,221
unknown_year_A,London,188
unknown_year_A,London,543
unknown_year_A,London,55
unknown_year_A,London,384
unknown_year_A,London,21
unknown_year_A,London,72
unknown_year_A,London,18
unknown_year_A,London,33
unknown_year_A,London,982
unknown_year_A,London,50
unknown_year_A,London,20
unknown_year_A,London,546
unknown_year_A,London,295
unknown_year_A,London,468
unknown_year_A,London,235
unknown_year_A,London,602
unknown_year_A,London,552
unknown_year_A,London,421
unknown_year_A,London,433
unknown_year_A,London,78
unknown_year_A,London,696
unknown_year_A,London,393
unknown_year_A,London,485
unknown_year_A,London,222
unknown_year_A,London,572
unknown_year_A,London,258
unknown_year_A,London,729
unknown_year_A,London,650
unknown_year_A,London,85
unknown_year_A,London,852
unknown_year_A,London,381
unknown_year_A,London,262
unknown_year_A,London,250
unknown_year_A,London,141
unknown_year_A,London,504
unknown_year_A,London,912
unknown_year_A,London,268
unknown_year_A,London,419
unknown_year_A,London,848
unknown_year_A,London,773
unknown_year_A,London,400
unknown_year_A,London,103
unknown_year_A,London,579
unknown_year_A,London,812
unknown_year_A,London,332
unknown_year_A,London,405
unknown_year_A,London,830
unknown_year_A,London,555
unknown_year_A,London,756
unknown_year_A,London,832
unknown_year_A,London,530
unknown_year_A,London,626
unknown_year_A,London,568
unknown_year_A,London,548
unknown_year_A,London,542
unknown_year_A,London,333
unknown_year_A,London,238
unknown_year_A,London,10
unknown_year_A,London,200
unknown_year_A,London,612
unknown_year_A,London,256
unknown_year_A,London,361
unknown_year_A,London,232
unknown_year_A,London,87
unknown_year_A,London,41
unknown_year_A,London,327
unknown_year_A,London,855
unknown_year_A,London,418
unknown_year_A,London,334
unknown_year_A,London,93
unknown_year_A,London,452
unknown_year_A,London,285
unknown_year_A,London,480
unknown_year_A,London,215
unknown_year_A,London,2
unknown_year_A,London,226
unknown_year_A,London,493
unknown_year_A,London,178
unknown_year_A,London,820
unknown_year_A,London,348
unknown_year_A,London,82
unknown_year_A,London,521
unknown_year_A,London,881
unknown_year_A,London,201
unknown_year_A,London,864
unknown_year_A,London,162
unknown_year_A,London,100
unknown_year_A,London,847
unknown_year_A,London,337
unknown_year_A,London,230
unknown_year_A,London,230
unknown_year_A,London,229
unknown_year_A,London,448
unknown_year_A,London,155
unknown_year_A,London,507
unknown_year_A,London,227
unknown_year_A,London,351
unknown_year_A,London,758
unknown_year_A,London,336
unknown_year_A,London,505
unknown_year_A,London,68
unknown_year_A,London,487
unknown_year_A,London,28
unknown_year_A,London,625
unknown_year_A,London,263
unknown_year_A,London,800
unknown_year_A,London,119
unknown_year_A,London,357
unknown_year_A,London,346
unknown_year_A,London,125
unknown_year_A,London,167
unknown_year_A,London,269
unknown_year_A,London,435
unknown_year_A,London,358
unknown_year_A,London,92
unknown_year_A,London,851
unknown_year_A,London,101
unknown_year_A,London,733
unknown_year_A,London,428
unknown_year_A,London,461
unknown_year_A,London,557
unknown_year_A,London,168
unknown_year_A,London,305
unknown_year_A,London,143
unknown_year_A,London,47
unknown_year_A,London,117
unknown_year_A,London,807
unknown_year_A,London,311
unknown_year_A,North East,636
unknown_year_A,North East,1894
unknown_year_A,North East,49
unknown_year_A,North East,556
unknown_year_A,North East,840
unknown_year_A,North East,1919
unknown_year_A,North East,1326
unknown_year_A,North East,187
unknown_year_A,North East,1848
unknown_year_A,North East,677
unknown_year_A,North East,1298
unknown_year_A,North East,661
unknown_year_A,North East,1428
unknown_year_A,North East,700
unknown_year_A,North East,1801
unknown_year_A,North East,128
unknown_year_A,North East,1357
unknown_year_A,North East,1069
unknown_year_A,North East,61
unknown_year_A,North East,1271
unknown_year_A,North East,1990
unknown_year_A,North East,1927
unknown_year_A,North East,1741
unknown_year_A,North East,1395
unknown_year_A,North East,1930
unknown_year_A,North East,1594
unknown_year_A,North East,1963
unknown_year_A,North East,699
unknown_year_A,North East,1100
unknown_year_A,North East,1528
unknown_year_A,North East,861
unknown_year_A,North East,1052
unknown_year_A,North East,850
unknown_year_A,North East,496
unknown_year_A,North East,1526
unknown_year_A,North East,1163
unknown_year_A,North East,829
unknown_year_A,North East,1679
unknown_year_A,North East,1324
unknown_year_A,North East,1879
unknown_year_A,North East,494
unknown_year_A,North East,927
unknown_year_A,North East,500
unknown_year_A,North East,299
unknown_year_A,North East,1726
unknown_year_A,North East,1157
unknown_year_A,North East,223
unknown_year_A,North East,1176
unknown_year_A,North East,1399
unknown_year_A,North East,1436
unknown_year_A,North East,460
unknown_year_A,North East,750
unknown_year_A,North East,1033
unknown_year_A,North East,935
unknown_year_A,North East,1387
unknown_year_A,North East,126
unknown_year_A,North East,1822
unknown_year_A,North East,640
unknown_year_A,North East,23
unknown_year_A,North East,1837
unknown_year_A,North East,1406
unknown_year_A,North East,1766
unknown_year_A,North East,343
unknown_year_A,North East,1697
unknown_year_A,North East,1835
unknown_year_A,North East,124
unknown_year_A,North East,1206
unknown_year_A,North East,1103
unknown_year_A,North East,801
unknown_year_A,North East,1583
unknown_year_A,North East,1755
unknown_year_A,North East,565
unknown_year_A,North East,565
unknown_year_A,North East,454
unknown_year_A,North East,1646
unknown_year_A,North East,1562
unknown_year_A,North East,338
unknown_year_A,North East,1503
unknown_year_A,North West - Mersey,1732
unknown_year_A,North West - Mersey,1132
unknown_year_A,North West - Mersey,961
unknown_year_A,North West - Mersey,1725
unknown_year_A,North West - Mersey,1049
unknown_year_A,North West - Mersey,1504
unknown_year_A,North West - Mersey,1566
unknown_year_A,North West - Mersey,1658
unknown_year_A,North West - Mersey,694
unknown_year_A,North West - Mersey,526
unknown_year_A,North West - Mersey,1130
unknown_year_A,North West - Mersey,1433
unknown_year_A,North West - Mersey,1351
unknown_year_A,North West - Mersey,1221
unknown_year_A,North West - Mersey,964
unknown_year_A,North West - Mersey,1411
unknown_year_A,North West - Mersey,1001
unknown_year_A,North West - Mersey,1449
unknown_year_A,North West - Mersey,1372
unknown_year_A,North West - Mersey,1546
unknown_year_A,North West - Mersey,1521
unknown_year_A,North West - Mersey,1133
unknown_year_A,North West - Mersey,1671
unknown_year_A,North West - Mersey,133
unknown_year_A,North West - Mersey,1476
unknown_year_A,North West - Mersey,1034
unknown_year_A,North West - Mersey,1444
unknown_year_A,North West - Mersey,395
unknown_year_A,North West - Mersey,185
unknown_year_A,North West - Mersey,874
unknown_year_A,North West - Mersey,1852
unknown_year_A,North West - Mersey,558
unknown_year_A,North West - Mersey,1434
unknown_year_A,North West - Mersey,853
unknown_year_A,North West - Mersey,1703
unknown_year_A,North West - Mersey,1169
